"entity_id","en","cs_cz","ru_il","fr_ca","sv_se","fr_be","fr_ch","he_il","es_us","ko_kr","en_ca","pl_pl","de_at","en_gb","sv_fi","it_it","de_de","en_au","fi_fi","pt_pt","ar_il","tr_tr","es_es","nl_be","fr_fr","hu_hu","nl_nl"
"wc48da6-wc48da6_w32cf36-c","<p>Very good&nbsp;</p><img src=""32.png""/>","Velmi dobrá <img src=""148.png""/>","Очень хорошо <img src=""148.png""/>","Très bonne    <img src=""148.png""/>","Mycket bra  <img src=""148.png""/>","Très bonne    <img src=""148.png""/>","Très bonne    <img src=""148.png""/>","טוב מאוד   <img src=""148.png""/>","Muy agradable  <img src=""148.png""/>","매우 좋음 <img src=""148.png""/>","Very good <img src=""148.png""/>","Bardzo dobra <img src=""148.png""/>","sehr gut <img src=""148.png""/>","Very good <img src=""148.png""/>","mycket bra  <img src=""148.png""/>","Molto gradevole <img src=""148.png""/>","sehr gut <img src=""148.png""/>","Very good <img src=""148.png""/>","todella hyvä <img src=""148.png""/>","Muito boa <img src=""148.png""/>","جيد جدًا   <img src=""148.png""/>","Çok iyi <img src=""148.png""/>","Muy buena <img src=""148.png""/>","Heel goed <img src=""148.png""/>","Très bon    <img src=""148.png""/>","Nagyon jó  <img src=""148.png""/>","Zeer goed <img src=""148.png""/>"
"wc48da6-wc48da6_h566f4e-c","<p>Not assessable&nbsp;</p><img src=""33.png""/>","Nelze hodnotit <img src=""149.png""/>","Не поддается оценке <img src=""149.png""/>","Non évaluable <img src=""149.png""/>","Vet ej <img src=""149.png""/>","Je ne sais pasNe <img src=""149.png""/>","Non évaluable <img src=""149.png""/>","לא ניתן להערכה  <img src=""149.png""/>","No se puede evaluar <img src=""149.png""/>","평가할 수 없음 <img src=""149.png""/>","Not assessable <img src=""149.png""/>","Niemożliwa do oceny <img src=""149.png""/>","nicht bewertbar <img src=""149.png""/>","Not assessable <img src=""149.png""/>","Jag kan inte säga <img src=""149.png""/>","Non valutabile <img src=""149.png""/>","nicht bewertbar <img src=""149.png""/>","Not assessable <img src=""149.png""/>","ei arvioitavissa <img src=""149.png""/>","Não avaliável <img src=""149.png""/>","لم أستطع التقييم  <img src=""149.png""/>","Değerlendirilemiyor <img src=""149.png""/>","No evaluable <img src=""149.png""/>","Kan ik niet zeggen  <img src=""149.png""/>","Non évaluable <img src=""149.png""/>","Nem értékelhető <img src=""149.png""/>","Niet van toepassing <img src=""149.png""/>"
"z4002cd-q","What do you think about the appearance of the suspension? The appearance is …","Co si myslíš o vzhledu suspenze? Vzhled je ...","Что ты думаешь о внешнем виде суспензии? Моя оценка внешнего вида...","Que penses-tu de l’apparence de la suspension? L’apparence est...","Vad tycker du om suspensionens utseende? Utseendet är…","Que pensez-vous de l’aspectde la suspension ? L'aspect est ...","Que penses-tu de l’aspect de la suspension ? L’aspect est …","מה אתה חושב על מראה התרחיף? המראה הוא ...","¿Qué piensas acerca del aspecto de la suspensión? El aspecto es …","현탁액의 외관에 대한 아동의 자발적 표정을 포착해 주십시오. 그 표현이 나타내는 성상은...","What do you think about the appearance of the suspension? The appearance is ...","Co sądzisz o wyglądzie zawiesiny? Wygląd jest…","Was hältst du von der äußeren Beschaffenheit der Suspension? Die äußere Beschaffenheit ist …","What do you think about the appearance of the suspension? The appearance is ...","Vad tycker du om suspensionens utseende? Utseendet är ...","Cosa pensi dell’aspetto della sospensione? L’aspetto è...","Was hältst du von der äußeren Beschaffenheit der Suspension? Die äußere Beschaffenheit ist …","What do you think about the appearance of the suspension? The appearance is ...","Mitä mieltä olet suspension ulkonäöstä? Ulkonäkö on...","O que achaste da aparência da suspensão? A aparência é..."," ما رأيك في شكل المعلق؟ المظهر العام …","Süspansiyonun görünüşü hakkında ne düşünüyorsunuz? Görünüşü ...","¿Qué opinas del aspecto de la suspensión? El aspecto es ...","Hoe vind je dat de suspensie eruitziet? Ze ziet er ... uit","Que penses-tu de l’apparence du médicament ? L’apparence est …","Mit gondolsz a szuszpenzió külleméről? A küllem...","Wat vind je van het uiterlijk van het drankje (suspensie)? Het uiterlijk is …"
"z4002cd-z4002cd_w25f46e-c","<p>Very bad&nbsp;</p><img src=""34.png""/>","Velmišpatná <img src=""144.png""/>","Очень плохо  <img src=""144.png""/>","Très mauvaise   <img src=""144.png""/>","Mycket dålig <img src=""144.png""/>","Très mauvaise   <img src=""144.png""/>","Très mauvais   <img src=""144.png""/>","רע מאוד  <img src=""144.png""/>","Muy desagradable <img src=""144.png""/>","매우 나쁨 <img src=""144.png""/>","Very bad <img src=""144.png""/>","Bardzo zła <img src=""144.png""/>","sehr schlecht  <img src=""144.png""/>","Very bad <img src=""144.png""/>","mycket dålig <img src=""144.png""/>","Molto sgradevole <img src=""144.png""/>","sehr schlecht  <img src=""144.png""/>","Very bad <img src=""144.png""/>","todella huono <img src=""144.png""/>","Muito má <img src=""144.png""/>","سيئ جدًا  <img src=""144.png""/>","Çok kötü  <img src=""144.png""/>","Muy mala <img src=""144.png""/>","Heel slecht  <img src=""144.png""/>","Très mauvais   <img src=""144.png""/>","Nagyon rossz  <img src=""144.png""/>","Zeer slecht  <img src=""144.png""/>"
"z4002cd-z4002cd_y71425c-c","<p>Bad</p><img src=""35.png""/>","Špatná <img src=""145.png""/>","Плохо <img src=""145.png""/>","Mauvaise <img src=""145.png""/>","Dålig <img src=""145.png""/>","Mauvaise <img src=""145.png""/>","Mauvais <img src=""145.png""/>","רע <img src=""145.png""/>","Desagradable <img src=""145.png""/>","나쁨 <img src=""145.png""/>","Bad <img src=""145.png""/>","Zła <img src=""145.png""/>","schlecht <img src=""145.png""/>","Bad <img src=""145.png""/>","dålig <img src=""145.png""/>","Sgradevole <img src=""145.png""/>","schlecht <img src=""145.png""/>","Bad <img src=""145.png""/>","huono <img src=""145.png""/>","Má <img src=""145.png""/>","سيئ  <img src=""145.png""/>","Kötü <img src=""145.png""/>","Mala <img src=""145.png""/>","Slecht <img src=""145.png""/>","Mauvais <img src=""145.png""/>","Rossz <img src=""145.png""/>","Slecht <img src=""145.png""/>"
"z4002cd-z4002cd_kf6ffb7-c","<p>Neutral</p><img src=""36.png""/>","Neutrální <img src=""146.png""/>","Нейтрально <img src=""146.png""/>","Neutre <img src=""146.png""/>","Neutral <img src=""146.png""/>","Neutre <img src=""146.png""/>","Neutre <img src=""146.png""/>","לא רע - לא טוב (ניטרלי)  <img src=""146.png""/>","Neutra <img src=""146.png""/>","보통 <img src=""146.png""/>","Neutral <img src=""146.png""/>","Neutralna <img src=""146.png""/>","neutral <img src=""146.png""/>","Neutral <img src=""146.png""/>","varken bra eller dålig <img src=""146.png""/>","Neutra <img src=""146.png""/>","neutral <img src=""146.png""/>","Neutral <img src=""146.png""/>","ei hyvä eikä huono <img src=""146.png""/>","Neutra <img src=""146.png""/>","عادي  <img src=""146.png""/>","Nötr <img src=""146.png""/>","Neutra <img src=""146.png""/>","Neutraal <img src=""146.png""/>","Neutre <img src=""146.png""/>","Semleges <img src=""146.png""/>","Neutraal <img src=""146.png""/>"
"z4002cd-z4002cd_zb8910e-c","<p>Good</p><img src=""37.png""/>","Dobrá <img src=""147.png""/>","Хорошо <img src=""147.png""/>","Bonne <img src=""147.png""/>","Bra <img src=""147.png""/>","Bonne <img src=""147.png""/>","Bonne <img src=""147.png""/>","טוב  <img src=""147.png""/>","Agradable <img src=""147.png""/>","좋음 <img src=""147.png""/>","Good <img src=""147.png""/>","Dobra <img src=""147.png""/>","gut <img src=""147.png""/>","Good <img src=""147.png""/>","bra <img src=""147.png""/>","Gradevole <img src=""147.png""/>","gut <img src=""147.png""/>","Good <img src=""147.png""/>","hyvä <img src=""147.png""/>","Boa <img src=""147.png""/>","جيد  <img src=""147.png""/>","İyi <img src=""147.png""/>","Buena <img src=""147.png""/>","Goed <img src=""147.png""/>","Bon <img src=""147.png""/>","Jó <img src=""147.png""/>","Goed <img src=""147.png""/>"
"z4002cd-z4002cd_t6e332e-c","<p>Very good</p><img src=""38.png""/>","Velmi dobrá <img src=""148.png""/>","Очень хорошо <img src=""148.png""/>","Très bonne    <img src=""148.png""/>","Mycket bra  <img src=""148.png""/>","Très bonne    <img src=""148.png""/>","Très bonne    <img src=""148.png""/>","טוב מאוד   <img src=""148.png""/>","Muy agradable  <img src=""148.png""/>","매우 좋음 <img src=""148.png""/>","Very good <img src=""148.png""/>","Bardzo dobra <img src=""148.png""/>","sehr gut <img src=""148.png""/>","Very good <img src=""148.png""/>","mycket bra  <img src=""148.png""/>","Molto gradevole <img src=""148.png""/>","sehr gut <img src=""148.png""/>","Very good <img src=""148.png""/>","todella hyvä     <img src=""148.png""/>","Muito boa <img src=""148.png""/>","جيد جدًا   <img src=""148.png""/>","Çok iyi <img src=""148.png""/>","Muy buena <img src=""148.png""/>","Heel goed <img src=""148.png""/>","Très bon    <img src=""148.png""/>","Nagyon jó  <img src=""148.png""/>","Zeer goed <img src=""148.png""/>"
"z4002cd-z4002cd_yd04500-c","<p>Not assessable</p><img src=""39.png""/>","Nelze hodnotit <img src=""149.png""/>","Не поддается оценке <img src=""149.png""/>","Non évaluable <img src=""149.png""/>","Vet ej <img src=""149.png""/>","Je ne sais pasNe <img src=""149.png""/>","Non évaluable <img src=""149.png""/>","לא ניתן להערכה  <img src=""149.png""/>","No se puede evaluar <img src=""149.png""/>","평가할 수 없음 <img src=""149.png""/>","Not assessable <img src=""149.png""/>","Niemożliwa do oceny <img src=""149.png""/>","nicht bewertbar <img src=""149.png""/>","Not assessable <img src=""149.png""/>","Jag kan inte säga <img src=""149.png""/>","Non valutabile <img src=""149.png""/>","nicht bewertbar <img src=""149.png""/>","Not assessable <img src=""149.png""/>","ei arvioitavissa <img src=""149.png""/>","Não avaliável <img src=""149.png""/>","لم أستطع التقييم  <img src=""149.png""/>","Değerlendirilemiyor <img src=""149.png""/>","No evaluable <img src=""149.png""/>","Kan ik niet zeggen  <img src=""149.png""/>","Non évaluable <img src=""149.png""/>","Nem értékelhető <img src=""149.png""/>","Niet van toepassing <img src=""149.png""/>"
"j5eabbb-q","What do you think about the taste right after you take the medication? The taste is …","Co si myslíš o chuti suspenze? Chuť je ...","Что ты думаешь о вкусе лекарства сразу после приема? Моя оценка вкуса...","Que penses-tu du goût dans ta bouche tout de suite après que tu prends le médicament? Le goût est...","Vad tycker du om smaken direkt efter att du tagit medicinen? Den smakar…","Que pensez-vous du goût juste après avoir pris le médicament ? Le goût est ...","Que penses-tu du goût juste après avoir pris le médicament ? Le goût est …","מה אתה חושב על הטעם מיד לאחר נטילת התרופה? הטעם הוא …","¿Qué piensas acerca del gusto después de tomar el medicamento? El gusto es ...","현탁액의 맛에 대한 아동의 자발적 표정을 포착해 주십시오. (시험약 복용 직후). 그 표현이 나타내는 맛은...","What do you think about the taste right after you take the medication? The taste is ...","Co sądzisz o smaku zawiesiny bezpośrednio po przyjęciu dawki leku. Smak jest…","Was hältst du vom Geschmack, direkt nachdem du das Medikament eingenommen hast? Der Geschmack ist ...","What do you think about the taste right after you take the medication? The taste is ...","Vad tycker du om smaken i din mun strax efter att du tagit medicinen? Smaken är ...","Come ti sembra il sapore subito dopo aver preso il farmaco? Il sapore è...","Was hältst du vom Geschmack, direkt nachdem du das Medikament eingenommen hast? Der Geschmack ist ...","What do you think about the taste right after you take the study drug? The taste is ...","Mitä mieltä olet mausta suussasi heti sen jälkeen, kun olet ottanut lääkettä? Maku on...","O que achaste do sabor logo depois de tomar a medicação? O sabor é...","ما رأيك في المذاق بعد تناولك للدواء؟ المذاق …","İlacı aldıktan hemen sonra ağzınızdaki tat hakkında ne düşünüyorsunuz? Tadı ...","¿Qué opinas sobre el sabor inmediatamente después de tomar el medicamento? El sabor es...","Wat vind je van de smaak net nadat je het medicijn hebt ingenomen? De smaak is ...","Que penses-tu du goût juste après avoir pris le médicament ? Le goût est …","Milyennek találod a készítmény ízét közvetlenül, miután beveszed? Az íz...","Wat vind je van de smaak van de medicatie direct nadat je het hebt ingenomen? De smaak is …"
"j5eabbb-j5eabbb_i627294-c","<p>Very bad&nbsp;</p><img src=""46.png""/>","Velmišpatná <img src=""144.png""/>","Очень плохо  <img src=""144.png""/>","Très mauvaise   <img src=""144.png""/>","Mycket dålig <img src=""144.png""/>","Très mauvaise   <img src=""144.png""/>","Très mauvais   <img src=""144.png""/>","רע מאוד  <img src=""144.png""/>","Muy desagradable <img src=""144.png""/>","매우 나쁨 <img src=""144.png""/>","Very bad <img src=""144.png""/>","Bardzo zła <img src=""144.png""/>","sehr schlecht  <img src=""144.png""/>","Very bad <img src=""144.png""/>","mycket dålig <img src=""144.png""/>","Molto sgradevole <img src=""144.png""/>","sehr schlecht  <img src=""144.png""/>","Very bad <img src=""144.png""/>","todella huono <img src=""144.png""/>","Muito má <img src=""144.png""/>","سيئ جدًا  <img src=""144.png""/>","Çok kötü  <img src=""144.png""/>","Muy mala <img src=""144.png""/>","Heel slecht  <img src=""144.png""/>","Très mauvais   <img src=""144.png""/>","Nagyon rossz  <img src=""144.png""/>","Zeer slecht  <img src=""144.png""/>"
"j5eabbb-j5eabbb_ab05640-c","<p>Bad&nbsp;</p><img src=""47.png""/>","Špatná <img src=""145.png""/>","Плохо <img src=""145.png""/>","Mauvaise <img src=""145.png""/>","Dålig <img src=""145.png""/>","Mauvaise <img src=""145.png""/>","Mauvais <img src=""145.png""/>","רע <img src=""145.png""/>","Desagradable <img src=""145.png""/>","나쁨 <img src=""145.png""/>","Bad <img src=""145.png""/>","Zła <img src=""145.png""/>","schlecht <img src=""145.png""/>","Bad <img src=""145.png""/>","dålig <img src=""145.png""/>","Sgradevole <img src=""145.png""/>","schlecht <img src=""145.png""/>","Bad <img src=""145.png""/>","huono <img src=""145.png""/>","Má <img src=""145.png""/>","سيئ  <img src=""145.png""/>","Kötü <img src=""145.png""/>","Mala <img src=""145.png""/>","Slecht <img src=""145.png""/>","Mauvais <img src=""145.png""/>","Rossz <img src=""145.png""/>","Slecht <img src=""145.png""/>"
"j5eabbb-j5eabbb_t4f6ad9-c","<p>Neutral&nbsp;</p><img src=""48.png""/>","Neutrální <img src=""146.png""/>","Нейтрально <img src=""146.png""/>","Neutre <img src=""146.png""/>","Neutral <img src=""146.png""/>","Neutre <img src=""146.png""/>","Neutre <img src=""146.png""/>","לא רע - לא טוב (ניטרלי)  <img src=""146.png""/>","Neutra <img src=""146.png""/>","보통 <img src=""146.png""/>","Neutral <img src=""146.png""/>","Neutralna <img src=""146.png""/>","neutral <img src=""146.png""/>","Neutral <img src=""146.png""/>","varken bra eller dålig <img src=""146.png""/>","Neutra <img src=""146.png""/>","neutral <img src=""146.png""/>","Neutral <img src=""146.png""/>","ei hyvä eikä huono <img src=""146.png""/>","Neutra <img src=""146.png""/>","عادي  <img src=""146.png""/>","Nötr <img src=""146.png""/>","Neutra <img src=""146.png""/>","Neutraal <img src=""146.png""/>","Neutre <img src=""146.png""/>","Semleges <img src=""146.png""/>","Neutraal <img src=""146.png""/>"
"j5eabbb-j5eabbb_r1882d6-c","<p>Good&nbsp;</p><img src=""49.png""/>","Dobrá <img src=""147.png""/>","Хорошо <img src=""147.png""/>","Bonne <img src=""147.png""/>","Bra <img src=""147.png""/>","Bonne <img src=""147.png""/>","Bonne <img src=""147.png""/>","טוב  <img src=""147.png""/>","Agradable <img src=""147.png""/>","좋음 <img src=""147.png""/>","Good <img src=""147.png""/>","Dobra <img src=""147.png""/>","gut <img src=""147.png""/>","Good <img src=""147.png""/>","bra <img src=""147.png""/>","Gradevole <img src=""147.png""/>","gut <img src=""147.png""/>","Good <img src=""147.png""/>","hyvä <img src=""147.png""/>","Boa <img src=""147.png""/>","جيد  <img src=""147.png""/>","İyi <img src=""147.png""/>","Buena <img src=""147.png""/>","Goed <img src=""147.png""/>","Bon <img src=""147.png""/>","Jó <img src=""147.png""/>","Goed <img src=""147.png""/>"
"j5eabbb-j5eabbb_qf62566-c","<p>Very good&nbsp;</p><img src=""50.png""/>","Velmi dobrá <img src=""148.png""/>","Очень хорошо <img src=""148.png""/>","Très bonne    <img src=""148.png""/>","Mycket bra  <img src=""148.png""/>","Très bonne    <img src=""148.png""/>","Très bonne    <img src=""148.png""/>","טוב מאוד   <img src=""148.png""/>","Muy agradable  <img src=""148.png""/>","매우 좋음 <img src=""148.png""/>","Very good <img src=""148.png""/>","Bardzo dobra <img src=""148.png""/>","sehr gut <img src=""148.png""/>","Very good <img src=""148.png""/>","mycket bra  <img src=""148.png""/>","Molto gradevole <img src=""148.png""/>","sehr gut <img src=""148.png""/>","Very good <img src=""148.png""/>","todella hyvä     <img src=""148.png""/>","Muito boa <img src=""148.png""/>","جيد جدًا   <img src=""148.png""/>","Çok iyi <img src=""148.png""/>","Muy buena <img src=""148.png""/>","Heel goed <img src=""148.png""/>","Très bon    <img src=""148.png""/>","Nagyon jó  <img src=""148.png""/>","Zeer goed <img src=""148.png""/>"
