"entity_id","en","cs_cz","da_dk","ru_il","fr_ca","sv_se","fr_be","fr_ch","he_il","es_us","ko_kr","lt_lt","en_ca","pl_pl","de_at","en_gb","sv_fi","it_it","de_de","en_au","fi_fi","el_gr","pt_pt","ar_il","tr_tr","es_es","nl_be","fr_fr","hu_hu","nl_nl"
"eda0d2e-eda0d2e_d8283c3-c","<p>No</p>","Ne","Nej","Нет","Non","Nej","Non","Non","לא","No","아니오","Ne","No","Nie","Nein","No","Nej","No","Nein","No","Ei","Όχι","Não","لا","Hayır","No","Nee","Non","Nem","Nee"
"s5cdf2c-q","Overall, I am very satisfied with the app","Celkově jsem s aplikací velmi spokojen(a).","Alt i alt er jeg meget tilfreds med appen.","В целом я очень доволен приложением.","Dans l’ensemble, je suis très satisfait(e) de l’application.","Sammantaget är jag mycket nöjd med appen.","Dans l’ensemble, je suis très satisfait(e) de l’application.","De manière générale, je suis très satisfait(e) de l’application.","באופן כללי, אני מרוצה מאוד מהאפליקציה.","En general, estoy muy satisfecho con la aplicación.","전반적으로, 이앱은매우만족스럽다.","Apskritai, esu patenkitas (-a) šia programėle.","Overall, I am very satisfied with the app.","Ogólnie rzecz biorąc, jestem bardzo zadowolony(-a) z aplikacji.","Ich bin im Allgemeinen sehr zufrieden mit der App.","Overall, I am very satisfied with the app.","Sammantaget är jag mycket nöjd med appen.","Nel complesso sono molto soddisfatto/a dell’app.","Ich bin im Allgemeinen sehr zufrieden mit der App.","Overall, I am very satisfied with the app.","Yleensä ottaen olen erittäin tyytyväinen sovellukseen.","Συνολικά, είμαι πολύ ικανοποιημένος/η με την εφαρμογή.","De um modo geral, estou muito satisfeito com a app.","بشكل عام، أنا راضٍ جدًا عن التطبيق.","Genel olarak uygulamadan çok memnunum.","En general, estoy muy satisfecho con la aplicación.","Ik ben over het algemeen zeer tevreden over de app.","De manière générale, je suis très satisfait(e) de l’application.","Összességében nagyon elégedett vagyok az alkalmazással.","Al met al ben ik zeer tevreden over de app."
"s5cdf2c-s5cdf2c_q20f375-c","<p>Strongly Agree</p>","Rozhodně souhlasím","Meget enig","Полностью согласен","Tout à fait d’accord","Instämmer helt","Tout à fait d’accord","Tout à fait d’accord","מסכים מאוד","Absolutamente de acuerdo","매우동의함","Visiškai sutinku","Strongly Agree","Zdecydowanie się zgadzam","Stimme vollkommen zu","Strongly Agree","Håller starkt med","Pienamente d’accordo","Stimme vollkommen zu","Strongly Agree","Täysin samaa mieltä","Συμφωνώ ιδιαιτέρως","Concordo totalmente","موافق بشدة","Kesinlikle katılıyorum","Totalmente de acuerdo","Volledig eens","Tout à fait d’accord","Kifejezetten egyetértek","Helemaal mee eens"
"s5cdf2c-s5cdf2c_p323c03-c","<p>Agree</p>","Souhlasím","Enig","Согласен","D’accord","Instämmer","D’accord","D’accord","מסכים","De acuerdo","동의함","Sutinku","Agree","Zgadzam się","Stimme zu","Agree","Håller med","D’accordo","Stimme zu","Agree","Samaa mieltä","Συμφωνώ","Concordo","موافق","Katılıyorum","De acuerdo","Mee eens","D’accord","Egyetértek","Mee eens"
"s5cdf2c-s5cdf2c_x4be977-c","<p>Neutral</p>","Neutrální, ani tak, ani tak","Neutral","Нейтральная позиция","Neutre","Neutral","Neutre","Ni d’accord, ni pas d’accord","ניטרלי","Neutral","중립적임","Nežinau","Neutral","Nie mam zdania","Neutral","Neutral","Neutral","Neutrale","Neutral","Neutral","Ei samaa eikä eri mieltä","Ουδέτερο","Neutro","حيادي","Kararsızım","Ni de acuerdo ni en desacuerdo","Neutraal","Neutre","Semleges","Neutraal"
"s5cdf2c-s5cdf2c_zf1265c-c","<p>Disagree</p>","Nesouhlasím","Uenig","Не согласен","En désaccord","Instämmer inte","En désaccord","Pas d’accord","לא מסכים","En desacuerdo","동의하지않음","Nesutinku","Disagree","Nie zgadzam się","Stimme nicht zu","Disagree","Håller inte med","In disaccordo","Stimme nicht zu","Disagree","Eri mieltä","Διαφωνώ","Discordo","غير موافق","Katılmıyorum","En desacuerdo","Mee oneens","Pas d’accord","Nem értek egyet","Niet mee eens"
"s5cdf2c-s5cdf2c_z3fa5f4-c","<p>Strongly Disagree</p>","Rozhodně nesouhlasím","Meget uenig","Совершенно не согласен","Pas du tout d’accord","Instämmer inte alls","Totalement en désaccord","Pas du tout d’accord","לא מסכים כלל","Absolutamente en desacuerdo","전혀동의하지않음","Visiškai nesutinku","Strongly Disagree","Zdecydowanie się nie zgadzam","Stimme überhaupt nicht zu","Strongly Disagree","Håller verkligen inte med","Fortemente in disaccordo","Stimme überhaupt nicht zu","Strongly Disagree","Täysin eri mieltä","Διαφωνώ πολύ","Discordo totalmente","غير موافق بشدة","Kesinlikle katılmıyorum","Totalmente en desacuerdo","Volledig oneens","Pas du tout d’accord","Kifejezetten nem értek egyet","Helemaal niet mee eens"
"c2ae3d5-q","The reminders/notifications I receive from the Linkt mobile app are helpful","Připomínky / upozornění, která dostávám z mobilní aplikace Linkt, jsou užitečná.","De påmindelser/meddelelser, som jeg får i Linkt-mobilappen, er nyttige.","Напоминания/уведомления, которые я получаю через мобильное приложение Linkt, полезны.","Les rappels/notifications que je reçois de l’application mobile Linkt sont utiles.","Påminnelserna/aviseringarna jag får från Linkt-mobilappen är till hjälp.","Les rappels/notifications que je reçois de l’application mobile Linkt sont utiles.","Les rappels/notifications que je reçois de la part de l’application mobile Linkt sont utiles.","התזכורות/הודעות שאני מקבל מאפליקציית Linkt לנייד מועילות.","Los recordatorios/notificaciones que recibo de la aplicación móvil Linktson útiles.","Linkt 모바일앱에서받은알림/통보가유용하다.","Priminimai / pranešimai, kuriuos gaunu iš mobiliosios programėlės „Linkt“, yra naudingi.","The reminders/notifications I receive from the Linkt mobile app are helpful.","Przypomnienia/powiadomienia, które otrzymuję z aplikacji mobilnej Linkt, są pomocne.","Die Erinnerungen/Benachrichtigungen, die ich von der Linkt-App erhalte, sind hilfreich.","The reminders/notifications I receive from the Linkt mobile app are helpful.","Påminnelserna/aviseringarna jag får från Linkt-mobilappen är till hjälp.","I promemoria/le notifiche che ricevo dall’app mobile Linkt sono utili.","Die Erinnerungen/Benachrichtigungen, die ich von der Linkt-App erhalte, sind hilfreich.","The reminders/notifications I receive from the Linkt mobile app are helpful.","Linkt-mobiilisovelluksesta saamani muistutukset/ilmoitukset ovat hyödyllisiä.","Οι υπενθυμίσεις/ειδοποιήσεις που λαμβάνω από την εφαρμογή για κινητά Linkt είναι χρήσιμες.","Os lembretes/notificações que recebo da app móvel Linkt são úteis.","التذكيرات/الإشعارات التي أتلقاها من تطبيق Linkt للهاتف المحمول مفيدة.","Linkt mobil uygulamasından aldığım hatırlatmalar/bildirimler yararlı oluyor.","Los recordatorios/las notificaciones que recibo de la aplicación móvil Linkt son útiles.","De herinneringen/meldingen die ik ontvang van de mobiele Linkt-app zijn nuttig.","Les rappels/notifications que je reçois de la part de l’application mobile Linkt sont utiles.","A Linkt mobilalkalmazástól kapott emlékeztetők/értesítések hasznosak.","De herinneringen/meldingen die ik ontvang van de Linkt-app, zijn nuttig."
"c2ae3d5-c2ae3d5_t816f39-c","<p>Strongly Agree</p>","Rozhodně souhlasím","Meget enig","Полностью согласен","Tout à fait d’accord","Instämmer helt","Tout à fait d’accord","Tout à fait d’accord","מסכים מאוד","Absolutamente de acuerdo","매우동의함","Visiškai sutinku","Strongly Agree","Zdecydowanie się zgadzam","Stimme vollkommen zu","Strongly Agree","Håller starkt med","Pienamente d’accordo","Stimme vollkommen zu","Strongly Agree","Täysin samaa mieltä","Συμφωνώ ιδιαιτέρως","Concordo totalmente","موافق بشدة","Kesinlikle katılıyorum","Totalmente de acuerdo","Volledig eens","Tout à fait d’accord","Kifejezetten egyetértek","Helemaal mee eens"
"c2ae3d5-c2ae3d5_afb0e62-c","<p>Agree</p>","Souhlasím","Enig","Согласен","D’accord","Instämmer","D’accord","D’accord","מסכים","De acuerdo","동의함","Sutinku","Agree","Zgadzam się","Stimme zu","Agree","Håller med","D’accordo","Stimme zu","Agree","Samaa mieltä","Συμφωνώ","Concordo","موافق","Katılıyorum","De acuerdo","Mee eens","D’accord","Egyetértek","Mee eens"
"c2ae3d5-c2ae3d5_m99d391-c","<p>Neutral</p>","Neutrální, ani tak, ani tak","Neutral","Нейтральная позиция","Neutre","Neutral","Neutre","Ni d’accord, ni pas d’accord","ניטרלי","Neutral","중립적임","Nežinau","Neutral","Nie mam zdania","Neutral","Neutral","Neutral","Neutrale","Neutral","Neutral","Ei samaa eikä eri mieltä","Ουδέτερο","Neutro","حيادي","Kararsızım","Ni de acuerdo ni en desacuerdo","Neutraal","Neutre","Semleges","Neutraal"
"c2ae3d5-c2ae3d5_md56c9d-c","<p>Disagree</p>","Nesouhlasím","Uenig","Не согласен","En désaccord","Instämmer inte","En désaccord","Pas d’accord","לא מסכים","En desacuerdo","동의하지않음","Nesutinku","Disagree","Nie zgadzam się","Stimme nicht zu","Disagree","Håller inte med","In disaccordo","Stimme nicht zu","Disagree","Eri mieltä","Διαφωνώ","Discordo","غير موافق","Katılmıyorum","En desacuerdo","Mee oneens","Pas d’accord","Nem értek egyet","Niet mee eens"
"c2ae3d5-c2ae3d5_u2bfc50-c","<p>Strongly Disagree</p>","Rozhodně nesouhlasím","Meget uenig","Совершенно не согласен","Pas du tout d’accord","Instämmer inte alls","Totalement en désaccord","Pas du tout d’accord","לא מסכים כלל","Absolutamente en desacuerdo","전혀동의하지않음","Visiškai nesutinku","Strongly Disagree","Zdecydowanie się nie zgadzam","Stimme überhaupt nicht zu","Strongly Disagree","Håller verkligen inte med","Fortemente in disaccordo","Stimme überhaupt nicht zu","Strongly Disagree","Täysin eri mieltä","Διαφωνώ πολύ","Discordo totalmente","غير موافق بشدة","Kesinlikle katılmıyorum","Totalmente en desacuerdo","Volledig oneens","Pas du tout d’accord","Kifejezetten nem értek egyet","Helemaal niet mee eens"
"mcdca53-q","I enjoy the look and feel of the app","Líbí se mi vzhled a dojem z aplikace. ","Jeg kan lide appens design og funktion.","Мне нравится внешний вид приложения и ощущения от работы с ним. ","J’apprécie l’aspect et la convivialité de l’application.","Jag gillar verkligen appens utseende och känsla. ","J’aime l’aspect et l’expérience de l’application. ","J’apprécie l’aspect et le mode de fonctionnement de l’application.","אני נהנה מהמראה והתחושה של האפליקציה.","Me gusta el aspecto de la aplicación. ","이앱의모양과느낌이마음에든다.","Man patinka, kaip programėlė atrodo ir veikia. ","I enjoy the look and feel of the app.","Podoba mi się wygląd i styl aplikacji. ","Ich mag das Design und die Handhabung der App. ","I enjoy the look and feel of the app.","Jag gillar verkligen appens utseende och känsla. ","Mi piace l’aspetto dell’app. ","Ich mag das Design und die Handhabung der App. ","I enjoy the look and feel of the app.","Pidän sovelluksen ulkonäöstä ja tuntumasta.","Απολαμβάνω την εμφάνιση και την αίσθηση της εφαρμογής. ","Gosto do aspeto e utilização da app. ","أستمتع بشكل التطبيق وأسلوبه.","Uygulamanın görünümünü ve verdiği hissi beğeniyorum. ","Me gusta el aspecto y el estilo de la aplicación.","Ik vind het ontwerp en de uitstraling van de app prettig. ","J’apprécie l’aspect et le mode de fonctionnement de l’application. ","Tetszik az alkalmazás megjelenése és használata. ","Ik vind het ontwerp en de uitstraling van de app prettig. "
"mcdca53-mcdca53_q614fcb-c","<p>Strongly Agree</p>","Rozhodně souhlasím","Meget enig","Полностью согласен","Tout à fait d’accord","Instämmer helt","Tout à fait d’accord","Tout à fait d’accord","מסכים מאוד","Absolutamente de acuerdo","매우동의함","Visiškai sutinku","Strongly Agree","Zdecydowanie się zgadzam","Stimme vollkommen zu","Strongly Agree","Håller starkt med","Pienamente d’accordo","Stimme vollkommen zu","Strongly Agree","Täysin samaa mieltä","Συμφωνώ ιδιαιτέρως","Concordo totalmente","موافق بشدة","Kesinlikle katılıyorum","Totalmente de acuerdo","Volledig eens","Tout à fait d’accord","Kifejezetten egyetértek","Helemaal mee eens"
"mcdca53-mcdca53_p67dd5a-c","<p>Agree</p>","Souhlasím","Enig","Согласен","D’accord","Instämmer","D’accord","D’accord","מסכים","De acuerdo","동의함","Sutinku","Agree","Zgadzam się","Stimme zu","Agree","Håller med","D’accordo","Stimme zu","Agree","Samaa mieltä","Συμφωνώ","Concordo","موافق","Katılıyorum","De acuerdo","Mee eens","D’accord","Egyetértek","Mee eens"
"mcdca53-mcdca53_z28063c-c","<p>Neutral</p>","Neutrální, ani tak, ani tak","Neutral","Нейтральная позиция","Neutre","Neutral","Neutre","Ni d’accord, ni pas d’accord","ניטרלי","Neutral","중립적임","Nežinau","Neutral","Nie mam zdania","Neutral","Neutral","Neutral","Neutrale","Neutral","Neutral","Ei samaa eikä eri mieltä","Ουδέτερο","Neutro","حيادي","Kararsızım","Ni de acuerdo ni en desacuerdo","Neutraal","Neutre","Semleges","Neutraal"
"mcdca53-mcdca53_sced05c-c","<p>Disagree</p>","Nesouhlasím","Uenig","Не согласен","En désaccord","Instämmer inte","En désaccord","Pas d’accord","לא מסכים","En desacuerdo","동의하지않음","Nesutinku","Disagree","Nie zgadzam się","Stimme nicht zu","Disagree","Håller inte med","In disaccordo","Stimme nicht zu","Disagree","Eri mieltä","Διαφωνώ","Discordo","غير موافق","Katılmıyorum","En desacuerdo","Mee oneens","Pas d’accord","Nem értek egyet","Niet mee eens"
"mcdca53-mcdca53_x54077e-c","<p>Strongly Disagree</p>","Rozhodně nesouhlasím","Meget uenig","Совершенно не согласен","Pas du tout d’accord","Instämmer inte alls","Totalement en désaccord","Pas du tout d’accord","לא מסכים כלל","Absolutamente en desacuerdo","전혀동의하지않음","Visiškai nesutinku","Strongly Disagree","Zdecydowanie się nie zgadzam","Stimme überhaupt nicht zu","Strongly Disagree","Håller verkligen inte med","Fortemente in disaccordo","Stimme überhaupt nicht zu","Strongly Disagree","Täysin eri mieltä","Διαφωνώ πολύ","Discordo totalmente","غير موافق بشدة","Kesinlikle katılmıyorum","Totalmente en desacuerdo","Volledig oneens","Pas du tout d’accord","Kifejezetten nem értek egyet","Helemaal niet mee eens"
"ba5941c-q","Scheduling the visit with the home nurse is...","Naplánování návštěvy s domácí zdravotní sestrou je...","Det er meget nemt at planlægge en tid med hjemmesygeplejersken...","Назначать визит патронажной медсестры...","Planifier la visite avec l’infirmière à domicile est...","Att planera in besöket med hemsjuksköterskan är...","Programmer la visite avec l’infirmier(ère) à domicile est...","Programmer la visite avec le membre du personnel infirmier à domicile est...","קביעת מועד לביקור אחות בבית היא...","Programar la visita con el servicio de enfermería a domicilio es...","가정간호사를이용한방문일정을잡는것은...","Vizito su namų slaugytoju (-a) planavimas yra...","Scheduling the visit with the home nurse is...","Uzgodnienie terminu wizyty domowej z pielęgniarką jest...","Die Terminvereinbarung mit der Pflegekraft ist... ","Scheduling a visit with the home nurse is...","Att planera in besöket med hemsjukskötare är...","Prenotare la visita infermieristica domiciliare è...","Die Terminvereinbarung mit der Pflegekraft ist... ","Scheduling the visit with the home nurse is...","KotisairaanHuoltajan käynnin aikatauluttaminen on...","Ο προγραμματισμός της επίσκεψης με την κατ’ οίκον νοσηλεύτρια είναι...","Agendar a consulta com o enfermeiro ao domicílio é.","تحديد موعد الزيارة مع الممرضة المنزلية يكون…","Eve gelen hemşire ile ziyareti programlamak,","Programar la visita con el enfermero a domicilio es...","Het inplannen van het bezoek met de thuisverpleegkundige is...","Programmer la visite avec le membre du personnel infirmier à domicile est...","A vizit ütemezése az otthoni ápolóval...","Het inplannen van het bezoek met de thuisverpleegkundige is..."
"ba5941c-ba5941c_e1d02bf-c","<p>Very easy</p>","Velmi snadné","Meget nemt","Очень легко","Très facile","Väldigt lätt","Très facile","Très facile","קלה מאוד","Muy fácil","매우쉬움","Labai paprastas","Very easy","Bardzo łatwe","Sehr einfach","Very easy","Väldigt lätt","Molto facile","Sehr einfach","Very easy","Erittäin helppoa","Πολύ εύκολος","Muito fácil","سهل للغاية","Çok kolay","Muy fácil","Heel eenvoudig","Très facile","Nagyon egyszerű","Heel gemakkelijk"
"ba5941c-ba5941c_h85fbd5-c","<p>Easy</p>","Snadné","Nemt","Легко","Facile","Lätt","Facile","Facile","קלה","Fácil","쉬움","Paprastas","Easy","Łatwe","Einfach","Easy","Lätt","Facile","Einfach","Easy","Helppoa","Εύκολος","Fácil","سهل","Kolay","Fácil","Eenvoudig","Facile","Egyszerű","Eenvoudig"
